Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
HONDA Ridgeline,3.5,6,SemiAuto-9,4,Gasoline,CA,pickup,3,18,24,21,4,No,441
HONDA Ridgeline,3.5,6,SemiAuto-9,4,Gasoline,FA,pickup,3,18,24,21,4,No,441
NISSAN Frontier,3.8,6,SemiAuto-9,2,Gasoline,CA,pickup,5,18,24,20,4,No,444
NISSAN Frontier,3.8,6,SemiAuto-9,2,Gasoline,FA,pickup,5,18,24,20,4,No,444
NISSAN Frontier,3.8,6,SemiAuto-9,4,Gasoline,CA,pickup,5,17,22,19,4,No,458
NISSAN Frontier,3.8,6,SemiAuto-9,4,Gasoline,FA,pickup,5,17,22,19,4,No,458
NISSAN Titan,5.6,8,SemiAuto-9,2,Gasoline,CA,pickup,5,16,21,18,3,No,503
NISSAN Titan,5.6,8,SemiAuto-9,2,Gasoline,FA,pickup,5,16,21,18,3,No,503
NISSAN Titan,5.6,8,SemiAuto-9,4,Gasoline,CA,pickup,5,15,21,18,3,No,505
NISSAN Titan,5.6,8,SemiAuto-9,4,Gasoline,FA,pickup,5,15,21,18,3,No,505
NISSAN Titan Pro-4X,5.6,8,SemiAuto-9,4,Gasoline,CA,pickup,5,15,20,17,3,No,517
NISSAN Titan Pro-4X,5.6,8,SemiAuto-9,4,Gasoline,FA,pickup,5,15,20,17,3,No,517
ASTON MARTIN DB11 V12,5.2,12,SemiAuto-8,2,Gasoline,CA,small car,3,14,22,17,3,No,522
ASTON MARTIN DB11 V12,5.2,12,SemiAuto-8,2,Gasoline,FA,small car,3,14,22,17,3,No,522
ASTON MARTIN DBS,5.2,12,SemiAuto-8,2,Gasoline,CA,small car,3,14,22,17,3,No,522
ASTON MARTIN DBS,5.2,12,SemiAuto-8,2,Gasoline,FA,small car,3,14,22,17,3,No,522
AUDI A8 L quattro,3,6,SemiAuto-8,4,Gasoline,CA,large car,5,19,28,22,5,No,399
AUDI A8 L quattro,3,6,SemiAuto-8,4,Gasoline,FA,large car,5,19,28,22,5,No,399
AUDI RS 5 Coupe,2.9,6,SemiAuto-8,4,Gasoline,CA,small car,5,18,25,21,4,No,430
AUDI RS 5 Coupe,2.9,6,SemiAuto-8,4,Gasoline,FA,small car,5,18,25,21,4,No,430
AUDI RS 5 Sportback,2.9,6,SemiAuto-8,4,Gasoline,CA,midsize car,5,18,25,21,4,No,431
AUDI RS 5 Sportback,2.9,6,SemiAuto-8,4,Gasoline,FA,midsize car,5,18,25,21,4,No,431
AUDI RS 7,4,8,SemiAuto-8,4,Gasoline,CA,midsize car,3,15,22,17,3,No,507
AUDI RS 7,4,8,SemiAuto-8,4,Gasoline,FA,midsize car,3,15,22,17,3,No,507
AUDI S4,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,21,30,24,5,No,363
AUDI S4,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,21,30,24,5,No,363
AUDI S5 Cabriolet,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,21,28,23,5,No,375
AUDI S5 Cabriolet,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,21,28,23,5,No,375
AUDI S5 Coupe,3,6,SemiAuto-8,4,Gasoline,CA,small car,5,21,30,24,5,No,363
AUDI S5 Coupe,3,6,SemiAuto-8,4,Gasoline,FA,small car,5,21,30,24,5,No,363
AUDI S5 Sportback,3,6,SemiAuto-8,4,Gasoline,CA,midsize car,5,21,30,24,5,No,363
AUDI S5 Sportback,3,6,SemiAuto-8,4,Gasoline,FA,midsize car,5,21,30,24,5,No,363
AUDI S6,2.9,6,SemiAuto-8,4,Gasoline,CA,midsize car,5,18,28,22,5,No,408
AUDI S6,2.9,6,SemiAuto-8,4,Gasoline,FA,midsize car,5,18,28,22,5,No,408
AUDI S7,2.9,6,SemiAuto-8,4,Gasoline,CA,midsize car,5,18,28,22,5,No,408
AUDI S7,2.9,6,SemiAuto-8,4,Gasoline,FA,midsize car,5,18,28,22,5,No,408
AUDI S8,4,8,SemiAuto-8,4,Gasoline,CA,large car,3,14,23,17,3,No,520
AUDI S8,4,8,SemiAuto-8,4,Gasoline,FA,large car,3,14,23,17,3,No,520
BMW 228i Gran Coupe,2,4,SemiAuto-8,2,Gasoline,CA,small car,7,24,34,28,6,No,314
BMW 228i Gran Coupe,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,24,34,28,6,No,314
BMW 228i xDrive Gran Coupe,2,4,SemiAuto-8,4,Gasoline,CA,small car,7,23,33,27,6,No,329
BMW 228i xDrive Gran Coupe,2,4,SemiAuto-8,4,Gasoline,FA,small car,7,23,33,27,6,No,329
BMW 230i Coupe,2,4,SemiAuto-8,2,Gasoline,CA,small car,3,26,35,29,6,No,300
BMW 230i Coupe,2,4,SemiAuto-8,2,Gasoline,CA,small car,3,26,35,29,6,No,300
BMW 230i Coupe,2,4,SemiAuto-8,2,Gasoline,FA,small car,3,26,35,29,6,No,300
BMW 330i,2,4,SemiAuto-8,2,Gasoline,CA,small car,7,26,36,30,6,No,298
BMW 330i,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,26,36,30,6,No,298
BMW 330i,2,4,SemiAuto-8,4,Gasoline,CA,small car,7,25,34,28,6,No,314
BMW 330i,2,4,SemiAuto-8,4,Gasoline,FA,small car,7,25,34,28,6,No,314
BMW 430i Convertible,2,4,SemiAuto-8,2,Gasoline,CA,small car,7,25,34,28,6,No,312
BMW 430i Convertible,2,4,SemiAuto-8,2,Gasoline,FA,small car,7,25,34,28,6,No,312
